tweet_id,sentiment,author,content
1957083641,anger,elDi_irk,fuckin'm transtelecom
1957089935,anger,umi78,Working   But it's Fridaaaayyyyy
1957110088,anger,NayNay_Rt,Packing  I don't like it..
1957289252,anger,crazy_erin,I tried to dye my hair and all i got was a blond chunk in the front middle part of my hair. Dang.
1957291305,anger,msfussybritches,&quot;locked up abroad&quot; makes bein half brown good risk mgmt when travelin 3rd world. i blend. i feel sorry for my hostage magnet white pepo
1957320931,anger,Medros,@LouGagliardi  damned hordies
1957448941,anger,Crystal_Lyn,"@bcollinstattoo yes, boo for soar throats and earaches!"
1957477724,anger,anthraxmoh,My stomach is all EXPLODE from the wendys  why is everything that tastes good bad for you?
1957587490,anger,ArunBasilLal,"@rmilana Hey, Wahts happening in #coffeclub..? I didnt have coffee for two days now  @dharshana"
1957589597,anger,noidSyStems,"Did a historical Jesus ever exist? Im finding it hard to prove, its all hearsay accounts ... it bugs me ..."
1957597348,anger,cierinethegreat,lost all my files since high school.
1957724418,anger,mm39,"i hav a chance to win $10, $100, $1000.  i was given a free can of $ plant..have to wait till the plant grow to know if i won anythin!!?!"
1957728707,anger,halona5429,i never knew a dentention was so hard 2 get
1957758701,anger,squeegeebean,@drakesizzle  If you don't want to come then don't come. JEEEEEZ.
1958065414,anger,Sparkey09,@_supernatural_ more Demon Sam!! I need it to numb the pain  xXx
1958075486,anger,sarahsarah94,"@LeahMul awh, thats not good,   get better soon!"
1958110071,anger,dibstaru,stuck in stupid Jeuno with flag up.  Wish I was in Windy fishing
1960129867,anger,jasminbryant,@mikeavila ack! I just read about your show  that's horrible!!! No accounting for taste.
1960137406,anger,Nikandjb,"@Greenwichlad Oh let me clarify,know lots of nice people who live there, but thought it always was a breeding ground 4 BNP"
1960339755,anger,EuanGriffin,Confuzzled
1960422487,anger,Lady_Lills,The toaster oven was my fault. Now I'm going to look like an idiot in front of my father.
1960545040,anger,agthekid,@eboogiee smh Your whin with that comment
1960598982,anger,TaylaMe3,@_hayles are u serious???? you touched his arse? ohmygod u bitch!!! lol aaaaawwwwwww y did u tell me that!!!
1960809800,anger,HarryJA,@mashable Link to ff &quot;how it works&quot; is broke!
1961189720,anger,belasales,aaaaaaaaaaa McFly
1961276271,anger,steamonbeamon,Shout out to my moms for wakin me up so prematurely! Preciate it
1961282376,anger,MRajotte,Stupid red hair is too difficult on the upkeep. Re-dyed it a more manageable brown-red. Boo
1961482073,anger,deonadee,has a VERY arduous task to accomplish at work...stuff that should have already been done &amp; as usual it hasn't. Not because of me either.
1961501807,anger,AlexRoebuck,"@wmdev Every time I succeed with a code, I get &quot;We're Sorry. Your Credit Card Has Been Declined at this time.&quot;"
1961567959,anger,892300,@jamie_oliver  I was off by one year. I really wanted some of Jamies cooking books in ENGLISH!!!! not German.
1961569799,anger,murphyTweet,@aranarose Murphy's Law?  Sorry that your computer is not cooperating when you have lots of work. My kids are .. http://tinyurl.com/km235x
1961864046,anger,sarahbeery,@BigCatJared   What did I do to you!  sheesh
1961887160,anger,stephaccad,studying for this bullshit econ test
1961969140,anger,latecomer,Internet is painfully slow today
1962000203,anger,redrouged,@cindaxo the straightener's another 110 pounds though. Seems pricey
1962106409,anger,dommafia,MOtherfuck QW
1962171118,anger,crlos77,No gas PLUS no money = Desperation!!!   and that's the word of the day!  http://twitpic.com/66zls
1962188721,anger,Suzl4,Very bad things.......I need to stop thinking!
1962197648,anger,faulko1,@anz_rocks19  i have to break the twitterparty... im off home soon
1962213285,anger,whitterness,@msaysrawr *points at the gear question I just posted* I cant get the rest of my Dreadweave set
1962220378,anger,kristenbyers,The &quot;Catch Me If You Can&quot; DVD that I rented from Blockbuster.com yesterday was cracked. Figured it out about 35 minutes into the movie.
1962257822,anger,CaptainClairesy,"It's so annoying when I want to go see The Sats, @OfficialJoBros and @ddlovato in concert..but I know I'LL Have to pay"
1962326416,anger,thomastorres,i hella wanted a sausage mcmuffin but when i gt there breakfast was over
1962781067,anger,MarijuanaTunes,#twitterfails fucking hard right now...this is annoying
1962959665,anger,kirstydutoit,im writing an exam on a SATURDAY  that should be illegal  where's my weekend?
1962994871,anger,cheesivore,@egheitasean Which denomination? I'm at the library and everything's blocked.
1962996830,anger,niassac,bout to go to work with a wicked sunburn on the chest.
1963126649,anger,iaro,"Wow, I'm really bored... and pissed I left my library card when I had to take the Booky Wook back..."
1963321469,anger,bridgetbean79,@kristanmarie at least you dont have quad parking haha two cars drove by real fast and spashed mud all over me
1963562862,anger,leashal,"Grabbing a snack and a drink at chili's, but the power just went out. Before I got my food!"
1963608177,anger,andykant,@playspymaster I want an invite - sick of seeing all these links for people playing and being left out
1963609364,anger,CrazyMegzie,#thingsmummysaid my mummy told me she never wnted to be my mummy ever again  so i live wid my dad i think ?? it all confusing
1963814520,anger,jubs4,@tommcfly Why do you not respond me?
1963859530,anger,hooogan,"Big Laptop is too big, so it's time to switch to the Eee.  Bye big guy"
1963994985,anger,MaximusZTS,People at work are stressing me out.
1964034674,anger,GingerMandy,@FafsaHelp i don't know what lender it was? yea these people definitely sucked butt toes. NOT friendly or helpful.
1964085747,anger,picklelizer,Wish my headache/almost migraine would go away!
1964145604,anger,SaintSimmy,"Gah, I sprained my LEFT ankle... Just after I got over the torn ligament for my right foot. Looks like it's back to walking with a cane"
1964155762,anger,KellieBean7,My throat is on fire
1964329118,anger,zanedefazio,sam and sean are teasing me saying they are gonna get wings without me
1964365667,anger,ambrosediva,never does  anything good school and rabbit it my life cycle dunno how to tune a giutar so i am stuffed
1964560834,anger,MINGOENT,@janae24 lol! y does ur tweet sound like ur voice yelling at me  lol!
1964602268,anger,gennyLinn,Gah! I left my glasses at work and reading is giving me a headache.  I can't believe how much I need them these days.  Old age.
1964660672,anger,ChasityBelt,"And you could have it all, my empire of dirt! I'm in a&amp;e with dad I'm freezing fully shivering Every1 else is warm  no fones allowed ffs!"
1964763838,anger,Christomopher,@porcelain_baby @Christomopher your not talking about your obsession with me right???
1964826940,anger,fawcett94,@JennyTaylor94  yer it is...poor little cock  but she well doesnt deserve the stick off everyone! cowell once again going against producer
1964864746,anger,Tessypie,"Had a shower. it's 5:55 PM. Triple 5's! Crap, it just turned 5:56"
1965098072,anger,heytearcatcher,@ACMcWhale I always feel guilty about it
1965390275,anger,cherry_Ade,seriously why did mum make me eat yeah i have a weird eating habit of not eating all day but really
1965401110,anger,sophmoreira,"@natss91 kill me as soon as you get here ,ok? my sister is having a sleepover tonight  and her obnoxious friends are driving me insane"
1965401596,anger,iyaitssuzanne,rught brb on me ipod. if i randomly go off its cos me internet breaks
1965504514,anger,messofadreamer,at famous dave's with my mom. so hungry.
1965534896,anger,Monica2112,"@maddsie Thanks, none close to me."
1965570494,anger,tisha_f,I am beginning to think sun blcok is a haox.
1965673873,anger,AdamSchwabe,Just found out my parents are putting down my dog tomorrow morning. Upset
1965686021,anger,charmincarmin,Apperently ea knows my copy of the sims 3 is not legit and is upset
1965796099,anger,yumjessiekaye,FUCK. slept in
1965814223,anger,thezattack,"my sisters fucking pc, just blued screened me"
1965988154,anger,KittyBoo81,"@PENLDN just got in, gonna go upto bed in a sec, not drunk! I'm disgusted with myself  haha"
1966093934,anger,brianbain,too sick for rigging tomorrow.
1966206110,anger,MiriiB,UUUUUGH!!! I HATE I MISSED @WAYNEDASTAR INTERVIEW!!! I WASNT AT HOME!!! DARN!!!
1966273796,anger,onthedecline,Sitting in traffic while my car gets rained on. Just washed it on Sunday. Doesn't the weather know this is California?
1694054375,anger,RBizzzle,finally home for once after a dope ass week
1694092204,anger,WoW_Modo,@eminem http://twitpic.com/4j585 - Guess I need to get me an iPhone now for sure!!!  It looks bad ass!!
1694381799,anger,nibby01,@paulmoxham everything is your fault moxy...everything.   x
1694382457,anger,greenappleseeds,finally getting sleepy right when the sky brightens ... figures! G'nimorning
1694549479,anger,mitchyy,is downloading new fonts . again  http://plurk.com/p/rplkr
1694567570,anger,farhanaJ,"So, what's so great bout your so called 'wonderful love life'?  For god sake, W-A-T-E-V-A!"
1694705758,anger,mikiszikszai,@stevebiddle I used to be - but that was a while ago now - your argument is pretty sound for a trolley pusher
1694792786,anger,pinkcitygirl,Monday...Funday!  Wake up people...and keep me awake please   Today is going to be a long one..I can already feel it. Eww
1694813071,anger,novemberlight,"@taylorswift13 Hello, yourself. Enjoy London. Watch out for the Hackneys. They're mental."
1694904010,anger,PeterHC,@iaindodsworth Told you that when you got rid of the last one. Did you listen
1694952651,anger,CaLiFoRNiAxbABy,"wakey wakey lemon shakeyyyy!  haha, goin' 2 schooliooo!  it's raining!! (ugh!) guess where I WISH I CAN BE RIGHT NOW....CaLiFoRNiA! ???"
1695001346,anger,GeekySteph,"@olafsearson Lol - I could try!  Seriously tho, dont do all of it! That sucks! xx"
1695692014,anger,xxxRobyn,@taylorswift13 jet lag must be soo annoyingg! im in uk timee  welcome to ukkkkk  are u coming to scotland at all  ? xxxx
1695694539,anger,nikitacrake,knows its all going to sort itself out
1751396136,anger,lululasha,omg! goooood ass nappy nap  jusss woke up bout 2 clean up a lil then get ready
1751396401,anger,She_shines92,@rockchick0125 yup!  Now I can join in on the nin access fun!
1752226787,anger,chicken1001,@Buddy021193 i hear you.. it pisses me off haha
1752255734,anger,8Rachael8,@PirateTimmy hopefully it don't go that far  sometimes I feel like renouncing my roots
1752321162,anger,AlexarrKaboom,"had a kickass day full of Seaworld, retarded 15 year old guys, and X-Men Origins. Win day?"
1752444806,anger,maestitia,OIL IS CHANGED!  And I am filthy.    But it's an accomplished filthy.
1752591272,anger,Sabrinakay08,@roberto121 that's some serious shit steve. why didn't you send me pictures or call me!! You know i love a good yard sale.
1752775153,anger,codyn,@brainofdane DUDE.  You're a hax0r!!!1!  You should put Final Cut Pro on there and tell me how stable it is
1752822438,anger,skrubsam,Just sittin here waitin for my coffee to be full grown on farm town before going to bed
1752943449,anger,Mat2DaW,my gawwddd ! 6 headshotss inna row? im on fyaaahhh!
1753032343,anger,Vanessah_JC,I'm way to sleepy.. Ill watch my shows lata..Good nite twit-fam!.. God bless!..XoXo
1753199183,anger,vimoh,@NerdIndian Take that back. I am insulted.
1753257239,anger,caityyyyyy,@anieszkaa haha i did a ltiitle bit yesterday and ive been out all day  so i think ima chick an allnighter  hahaha NOT COOL
1753787973,anger,momtodanielle,@johncmayer you are one of my favorite musicians/artists ever!! Please keep up the great work John
1752965540,enthusiasm,AYOdeemee,super duber high! this klondike bar is thee business.
1752965793,enthusiasm,SteveAllen2,"KERI HILSON- SLOW DANCE ROCKIN' THE SHIT OUT OF MY PLAYLIST RIGHT NOW! GET UP ON THIS SONG, PURE PANTY DROPPER"
1752984489,enthusiasm,Paigey215,@mismile when are u gonna host Saturday night live!! i've been waiting for like 2 yearsssssss!!
1753007841,enthusiasm,Pamlovesit,@DirtySteveRock I decided you should help me make my first solo album
1753028785,enthusiasm,Ahrae,Night peeps. Hope you all had a great day! Untill tomorrow.
1753031790,enthusiasm,rawkstraxl,@caatheedee maybe you should greet her for good.
1753050392,enthusiasm,LuCiajavon,@lavvocato got it. Welchs grape too please
1753051444,enthusiasm,RegineFilange,@adnamay Yup  On to Mother's Day. Any plans for your birthday?
1753051947,enthusiasm,catdeeezy,&quot;The weather outside is weather&quot; hahah made me feel better
1753075575,enthusiasm,offorsobianco,Hecks yeah. Jandy timsamlake is too rawesome!
1753076033,enthusiasm,ColorBakery,"@ScottATaylor Other than that, you are totally bereft of faults in every way"
1753095467,enthusiasm,IEatHappiness,Watching some movie and playin on my computer.
1753117066,enthusiasm,ian1cooper,Ian is waiting for a very important pic
1753118870,enthusiasm,Deidre_D,@LeslieCraig haha maybe someday I will be your publicist! that's what i am going to school for
1753136687,enthusiasm,DujourMag,@xantherrific online! www.dujourmag.com/subscribe
1753138177,enthusiasm,MegAppleford,"@FelixKev hey Kev - keep with it. It seems crap at first but will def be worthwhile! Add LOADS of people, much more interesting"
1753158125,enthusiasm,cblack23,"Shite night, tomorow, I get to hang out with my little brother and neice, should be sufficient enough to change my mood"
1753178064,enthusiasm,lyssamia,"@jessicasydney i did, haha. i'll run is more suitable, at the moment."
1753196865,enthusiasm,wlturland,@greggrunberg Can you please @elazar with that? I'd love some egg +bacon +ranch +bed for giving birth 3 times in 4 years!
1753215640,enthusiasm,JacobG018,Morning People!  Just woke up now!
1753218626,enthusiasm,gawed,"browsing thru adopting agencies, i'm gonna get some exotic kids"
1753235119,enthusiasm,JoyceMason,"@joyfrequencies Yes, but I'm quite rusty.  I'm hoping to get back to it and &quot;tune up&quot; my skills.  Tim plays guitar.  We threaten duets."
1753235900,enthusiasm,DazzleMeVivi,@RisaRM I tried replying to your mono lake tweet but dunno what happened. Just said I know that lake very well.
1753237541,enthusiasm,cHuMeee,be back later!  HAPPY MOTHER'S DAY TO ALL THE MOTHERS IN THE WORLD! Ã¯Â¿Â½ GOD LOVES US ALL!
1753254473,enthusiasm,Skiingfreak77,"@anna_007 Don't worry, they'll get bored of it! Just hang in there and don't give in!"
1753254734,enthusiasm,maggienash,@lexxie_couper  I've heard that. 2 of my sons have seen it and one wants to see it again. I can't wait to get there
1753254833,enthusiasm,urbanfly,@shaki_sm I'll have a look. Do you live in the centre of Glasgow? I was born on Bellshill &amp; grew up in Bothwell. I miss Tunnocks pies
1753254838,enthusiasm,cwtsh,@scottiejen knackered! been awake since 5 as couldn't sleep! just started work now. coffee and toast sounds awesome  chris has been busy!
1753255024,enthusiasm,DannysGhirl,@RetroRewind hey dave im just up in the UK and first thing i done was put RR on  could u play ill be there new kids on the block thanks
1753272527,enthusiasm,reiniervv,Done...now another gem of a day in Cape Town
1753273656,enthusiasm,_DINA,@joywilder That's a popular one! (cccd)  Thx for replying
1753274067,enthusiasm,anjszulc,i'm lookin for email to this man  i have his photo -Spray Painting in Wroclaw(Poland) by Kosmo http://bit.ly/EOvVN
1753274246,enthusiasm,rehan_92,Aiden KNIVES out May 12th www.myspace.com/aiden. excited!!!!!
1753292229,enthusiasm,emilio_delgado,Happy Mothers Day mom!  I love you!
1753293674,enthusiasm,sheryonstone,here we go.. captain says &quot;shut it down&quot; we are on our way  ? http://blip.fm/~5z3p8
1753310026,enthusiasm,OrgaSAM,could do with some bacon and egss. mm
1753311171,enthusiasm,KeshLondon,@marafromci its bout smoking weed
1753312762,enthusiasm,lostintheforest,@thebirchtree i'll try sort that fabric out for you today...been a busy bee!
1753329120,enthusiasm,adecembertruth,"@RussellBfan90 ah its getting there  still a fair bit to go, but it's coming together fairly well! aw  where are you from?"
1753329216,enthusiasm,Littlebird3107,"@ChrisAxe Thank you. Keep it down, there's a good lad."
1753330503,enthusiasm,gabegonz,@biomedwiz miss u too. I'm still at a club...u know...west coast shit!
1753331537,enthusiasm,JoanneRighetti,"@Beati3 moving from rod to justin, even persuaded sons to join me"
1753350199,enthusiasm,Rebekah_McFly,"@amalinaaa You said your getting McFlys live album 2morrow, whats it called?  xx"
1753367101,enthusiasm,Oroborus1057,"@johncmayer &quot;arrest her&quot; or, anything ending in -est that can be done to her."
1753382650,enthusiasm,pinkalici0us,@MA12CUS - You can do yiiiit!  Night
1753400331,enthusiasm,MrBenzedrine,@xCarCrashHearts ironclad determination?
1753415457,enthusiasm,thepurplehawk,@YvetteCYL Awwww so sweet of him.
1753434218,enthusiasm,Jane866,@johncmayer what about name Jana? there you've got lots of options..
1753435439,enthusiasm,lyssiecc,"I'm bored, extremely bored. in the car. waiting for my dad. and dinner. chinese. yummm."
1753452861,enthusiasm,5toSucceed,"@Jenehhh Feeling inspired this evening, huh?"
1753467741,enthusiasm,ethandhan,"i want to wake up early, and get a coffee tomorrow (today) !  it's going to be a busyy day! but have to keep writing.. booo whoo!"
1753468283,enthusiasm,barrysnedden,"All the bike chat, makes me think we should sign up to this http://www.bigbikeride.co.uk @darrenstenhosue @niceguyali @ anyonewithbike"
1753483167,enthusiasm,68kevin,"got in a fist fight with a old biker guy.......and how dare you even ask, yes i kicked his ass"
1753484460,enthusiasm,heykim,"@bluecat7  i definitely will , although with the caveat  that i normally only read non fiction..but have more in recent years read novels"
1753500620,enthusiasm,beau05,"Happy robbie drank a good bit, as long as he doesn't wake up sick"
1753500784,enthusiasm,EarlaRiopel,"@trainright http://twitpic.com/4vgzy - Moving is great, especially if lots of them help."
1753501449,enthusiasm,k8zilla,has found a free wifi point ... and it's sunny
1753501730,enthusiasm,jespern,"@mitsuhiko Np mate, was great meeting you in Prague"
1753517747,enthusiasm,XGraceStAcKX,"@bradiewebbstack ooh yay, its been forevs since last ss tv  baked dinner is so good, how yummy. I had prawns  xx"
1753531785,enthusiasm,humerfred,@solangeknowles www.youtube.com/watch?v=6UrRxta8doM this was the first 1!
1753535161,enthusiasm,fomw,"@marginatasnaily Yes, you really should!"
1753535263,enthusiasm,queen_ila,@NLiukin OMG so exctied
1753550933,enthusiasm,dianedenmark,"DH at work, DD7 at party. Seriously thinking of treating DS9 and myself to sushi lunch - after all, it IS Mother's Day here!"
1753552011,enthusiasm,CreativeWolf,"@LimeIce Err, I get that  Now, with the TimThumb, what's with the url?"
1753569308,enthusiasm,KajiDraolf,@whitepaws_husky Thank you!  And I hope karma beats those fuckers into the ground.
1753585226,enthusiasm,imuyachan,@sookyeong u mean VIP this time ? coz of the KBS thingy ? haha..
1753585371,enthusiasm,HayleySimmonds,Is having a BBQ today!
1753585656,enthusiasm,mycahearten,"she's smarter and classier. she's perfect for him. and, IM NOT."
1753598740,enthusiasm,Katie_McFlyy,Mcfly evolution for the 4th time round
1753615246,enthusiasm,joshwhacker,"@firequinito From the champion team in the defunct MBA, Cebu Gems!"
1753615469,enthusiasm,Jess_Moody,"there is never anything on tv, on sundays. CAN'T WAIT for america"
1753615979,enthusiasm,stumads,@JasonBradbury YES! but keep them coming
1753616934,enthusiasm,sfee,catching up on my teevee shows.
1753632052,enthusiasm,DannysBaby,"Is A Very Happy Bee, She Is Starting To Feel Better, &amp; Cant Wait For Her Birthday, what is 23 days"
1753632526,enthusiasm,Gappiie,awake and ready to learn a little more
1753633995,enthusiasm,GnarBlast,did some more work on Dig Dug. can get to level 16 without dying now  Mega Man tomorrow after work. Goal: 2 levels in 5 minutes
1753649777,enthusiasm,ComedyQueen,@Susie_Nutbar Good morning  how are you? #TwitterTakeover
1753663484,enthusiasm,himynameisrose,"@masterballerina yeah, it's all teased up into this boofy bit...i'm buying red hair extensions btw"
1753665728,enthusiasm,leighdj,@fawcett94 - I'm not letting Reach sink. Thats for sure. I'm still presenting and joint HON! Owens Mon 8pm-10pm &amp; I'm Sat 2pm-4pm
1753666035,enthusiasm,purplefae,@michaelmeloni Yes! Join us! All we require is a cupcake donation...
1753678401,enthusiasm,LittleYellowJen,@BrianMcnugget I was sleep for all that and missed the fun! Hey DG.  lets play another gammme brian
1753678686,enthusiasm,xTammy,morrisons here i come!
1753694010,enthusiasm,zoja87,"It's raining cats and dogs in Gda?sk today , looks nice 'though through a window"
1753694076,enthusiasm,kahemeh,@kiwi_from_hell @sporkess how's monday for you?
1753694190,enthusiasm,AndyGER,In about 2 hours from now i will find out how good the STAR TREK Film from J.J. really is. A Ticket costs 9 Euro and i hope its worth it
1753694667,enthusiasm,dooganized,"Hour til lunch, can't wait. Ima go to Mcd's"
1753696650,enthusiasm,naomiwv,Surveying my NEW LAWN from the upstairs window!
1753711558,enthusiasm,exonumi,@alucinari Moral support for students
1753726733,enthusiasm,illicitlyyours,"@NYBabe No ways. If you can nab a youngster, go for it! My best friend swears by younger men - apparantly they can go for longer too!"
1753742812,enthusiasm,br1cen05,had an awesome time with @spotspot85 and @xerovoltage
1753743524,enthusiasm,naataalieee,@kyoisorange ok ermm I'll meet you in the gym at half four then
1753759918,enthusiasm,lauralovebby,http://twitpic.com/4wtii - new hair going to greeattt use!
1753774454,enthusiasm,zoul1380,@horcrux01 happy bday!
1753788350,enthusiasm,charliesome,@DannehOak hey there! your web URL looks good
1753803741,enthusiasm,millie79,"@Jennifrayne  Thanks for the link, ive voted &amp; i'll send that out too."
1753806665,enthusiasm,Sylvarwolf,@jazz_machine lol - Good evening/morning/day (just to catch everything!) to you too!
1753838149,enthusiasm,Lori_Jayne,is off to RENT soon  Hope I can get home tonight though with all the train problems :s ...
1753851954,enthusiasm,hdiowl,"Early bird gets the worm.  And in my case, birder gets to witness the carnage."
1753855043,enthusiasm,sensible,@BlokesLib i look forward to that. if u ever write 5 Things a Misanthrope Must Do to be at Peace w Humanity i'm up for that as well
1753868703,enthusiasm,ericeriksson,"@usagiii sweet  i should have something new to show you by then, too"
1753869568,enthusiasm,andreeaparaschi,@marius101 right..  making compromises is what kills us!
1753869702,enthusiasm,gigimixcd,ah midday - great time for breakfast
1753871849,enthusiasm,MileyCFanClub,When we got more followers we gonna have a competition.Hope you all look forward !
1753884598,enthusiasm,jorjaLEExx,why do we even live on this earth ?? i wanna live on mars :|
1753885897,enthusiasm,afeitar,@pinkdaze Yes! That sounds like a great idea. Message me on LJ about it
1753902565,enthusiasm,elizamanson,@HIstapleface answer my really cool questions
1753902732,enthusiasm,loborohan,@ascrivner come over to my place for a cup of tea
1753903793,enthusiasm,ilinajoy,"@sierrabardot whaatttaatttt! she is a good cook and really creative, silly sierra"
1753904028,enthusiasm,TaylorWakelin,BEEN TOWN WITH THE MOTHER  NICE &amp; SUNNNY
1753904526,enthusiasm,Freakonomy,@SarahSaner Hey Sarah! Hws u? Hope u remember me
1956977084,happiness,ktierson,mmm much better day... so far! it's still quite early. last day of #uds
1956983874,happiness,joia,"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards."
1956985535,happiness,quarrygirl,"@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?"
1956996765,happiness,rarmendariz,"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho."
1957017522,happiness,Davislb921,"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs."
1957017595,happiness,c10gg3rgirl,"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go"
1957020385,happiness,itspaigepenales,"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more"
